labels,ENG,UKR,DEU,NLD,SPA,TUR,POR,ITA
### pack0,108,1855
gentxtoky,Ok,Гаразд,Ok,OK,Aceptar,Ok,Ok,Ok
gentxtset,Settings...,Параметри…,Einstellungen…,Instellingen…,Opciones...,Ayarlar…,Config…,Impostazioni…
gentxtvct,Volume control,Регулятор гучності,Lautstärke,Volume,Volumen,Ses kontrolü,Volume,Volume
gentxtmut,Mute,Вимкн.,Stumm,Demp,Silenc.,Sessiz,Mudo,Muto
gentxttfx,Effects,Ефекти,Effekte,Effecten,Efectos,Efektler,Efeitos,Effetti
gentxttms,Music,Музика,Musik,Muziek,Música,Müzik,Música,Musica
gentxtdpr,Preferred output device:,Бажаний пристрій виводу:,Bevorzugtes Audiogerät:,Voorkeur uitvoer:,Dispositivo de salida preferido:,Tercih edilen çıkış aygıtı:,Dispositivo de saída preferido:,Dispositivo di output preferito:
prgmsgshm1,Are you sure you want to,"Ви впевнені, що хочете","Sicher, daß das aktuelle",Weet u zeker?,¿Seguro que quieres resetear el ,Geçerli ses şemasını,Tem certeza que deseja,Sicuro di resettare?
prgmsgshm2,reset the current sound,скинути поточну звукову,Soundschema zurückgesetzt,Geluidsschema resetten,esquema de sonido actual?,sıfırlamak istediğinizden,redefinir o esquema de,lo schema di suono
prgmsgshm3,scheme?,схему?,werden soll?,naar standard schema?,,emin misiniz?,som atual?,attuale?
prgmsgmmu1,Are you sure you want to,"Ви впевнені, що хочете","Sicher, daß jede geladene",Weet u zeker?,¿Seguro que quieres eliminar ,Yüklediğiniz tüm müzikleri,Tem certeza que deseja,Sicuro di azzerare
prgmsgmmu2,clean-up all loaded,очистити всю завантажену,Musik gelöscht werden,Muziek geheugen,toda la música cargada?,temizlemek istediğinizden,limpar todas as músicas,tutta la musica
prgmsgmmu3,music?,музику?,soll?,opschonen,,emin misiniz?,carregadas?,caricata?
prgmsgmfx1,Are you sure you want to,"Ви впевнені, що хочете","Sicher, daß alle zusätzlich",Weet u zeker?,¿Seguro que quieres resetear los,Mevcut ses efektlerini,Tem certeza que deseja,Sicuro di resettare
prgmsgmfx2,reset the current sound,скинути поточні звукові,geladenen Effekte gelöscht,Effecten geheugen,efectos de sonido actuales?,sıfırlamak istediğinizden,redefinir o esquema de,le impostazioni audio
prgmsgmfx3,effects?,ефекти?,werden sollen?,resetten,,emin misiniz?,efeitos?,attuali?
prgmsgam11,Please quit SymAmp first!,Спочатку закрийте SymAmp!,SymAmp zuerst beenden!,SymAmp eerst afsluiten!,Primero cierra SymAmp,Lütfen önce SymAmp'ı kapatın!,Feche o SymAmp primeiro!,Prima esci da SymAmp!
prgmsgam12,Then you can start the Sound,Потім ви можете запустити службу,Dann zuerst den Sound Daemon,Start Sound Daemon,y luego inicia el Sound Daemon,Ardından Ses Servisi’ni başlatabilir,Então você pode iniciar o,Dopo potrai riavviare il servizio
prgmsgam13,Daemon and run SymAmp again.,звуку і знову запустити SymAmp.,und dann SymAmp starten.,en SymAmp opnieuw.,y ejecutar SymAmp en nuevo.,ve SymAmp'ı tekrar çalıştırabilirsiniz.,Sound Daemon e executar o SymAmp novamente.,e lanciare di nuovo SymAmp.
prgmsgam22,Then you can quit the,Тоді ви також можете,Danach kann auch der Sound,Daarna Sound Daemon ,Entonces podrás cerrar el,Ardından Ses Servisini de,Então você pode fechar o,Dopo potrai comunque
prgmsgam23,Sound Daemon as well.,вийти з служби звуку.,Daemon beendet werden.,afsluiten.,Sound Daemon también.,kapatabilirsiniz.,Sound Daemon também.,terminare il servizio audio.
